,sentence,bigrams,trigrams
1226,بنه,[],[]
1227,نظافه ما شاء الله,"[('نظافه', 'ما'), ('ما', 'شاء'), ('شاء', 'الله')]","[('نظافه', 'ما', 'شاء'), ('ما', 'شاء', 'الله')]"
1228,لا يوجد هريسه اسم هريسه عربي معلومه غالطه هريسه نفس بلفلفل شايح و ثوم تصدر من تونس الي اوربا تونسيه اصل مكتوب عليها هريسه,"[('لا', 'يوجد'), ('يوجد', 'هريسه'), ('هريسه', 'اسم'), ('اسم', 'هريسه'), ('هريسه', 'عربي'), ('عربي', 'معلومه'), ('معلومه', 'غالطه'), ('غالطه', 'هريسه'), ('هريسه', 'نفس'), ('نفس', 'بلفلفل'), ('بلفلفل', 'شايح'), ('شايح', 'و'), ('و', 'ثوم'), ('ثوم', 'تصدر'), ('تصدر', 'من'), ('من', 'تونس'), ('تونس', 'الي'), ('الي', 'اوربا'), ('اوربا', 'تونسيه'), ('تونسيه', 'اصل'), ('اصل', 'مكتوب'), ('مكتوب', 'عليها'), ('عليها', 'هريسه')]","[('لا', 'يوجد', 'هريسه'), ('يوجد', 'هريسه', 'اسم'), ('هريسه', 'اسم', 'هريسه'), ('اسم', 'هريسه', 'عربي'), ('هريسه', 'عربي', 'معلومه'), ('عربي', 'معلومه', 'غالطه'), ('معلومه', 'غالطه', 'هريسه'), ('غالطه', 'هريسه', 'نفس'), ('هريسه', 'نفس', 'بلفلفل'), ('نفس', 'بلفلفل', 'شايح'), ('بلفلفل', 'شايح', 'و'), ('شايح', 'و', 'ثوم'), ('و', 'ثوم', 'تصدر'), ('ثوم', 'تصدر', 'من'), ('تصدر', 'من', 'تونس'), ('من', 'تونس', 'الي'), ('تونس', 'الي', 'اوربا'), ('الي', 'اوربا', 'تونسيه'), ('اوربا', 'تونسيه', 'اصل'), ('تونسيه', 'اصل', 'مكتوب'), ('اصل', 'مكتوب', 'عليها'), ('مكتوب', 'عليها', 'هريسه')]"
1229,كميت زيت بهل اكله تعبي موتور سياره,"[('كميت', 'زيت'), ('زيت', 'بهل'), ('بهل', 'اكله'), ('اكله', 'تعبي'), ('تعبي', 'موتور'), ('موتور', 'سياره')]","[('كميت', 'زيت', 'بهل'), ('زيت', 'بهل', 'اكله'), ('بهل', 'اكله', 'تعبي'), ('اكله', 'تعبي', 'موتور'), ('تعبي', 'موتور', 'سياره')]"
1230,معدنوس و بصل اكثر من فلفل و طماطم ,"[('معدنوس', 'و'), ('و', 'بصل'), ('بصل', 'اكثر'), ('اكثر', 'من'), ('من', 'فلفل'), ('فلفل', 'و'), ('و', 'طماطم'), ('طماطم', '')]","[('معدنوس', 'و', 'بصل'), ('و', 'بصل', 'اكثر'), ('بصل', 'اكثر', 'من'), ('اكثر', 'من', 'فلفل'), ('من', 'فلفل', 'و'), ('فلفل', 'و', 'طماطم'), ('و', 'طماطم', '')]"
1231,مع احترامي ليه كفتاجي عمرو ما يجي بطاطا طويله,"[('مع', 'احترامي'), ('احترامي', 'ليه'), ('ليه', 'كفتاجي'), ('كفتاجي', 'عمرو'), ('عمرو', 'ما'), ('ما', 'يجي'), ('يجي', 'بطاطا'), ('بطاطا', 'طويله')]","[('مع', 'احترامي', 'ليه'), ('احترامي', 'ليه', 'كفتاجي'), ('ليه', 'كفتاجي', 'عمرو'), ('كفتاجي', 'عمرو', 'ما'), ('عمرو', 'ما', 'يجي'), ('ما', 'يجي', 'بطاطا'), ('يجي', 'بطاطا', 'طويله')]"
1232,اخيه رجعتوه تبلبيز شنيه هذا تصطيره موش كغتاجي,"[('اخيه', 'رجعتوه'), ('رجعتوه', 'تبلبيز'), ('تبلبيز', 'شنيه'), ('شنيه', 'هذا'), ('هذا', 'تصطيره'), ('تصطيره', 'موش'), ('موش', 'كغتاجي')]","[('اخيه', 'رجعتوه', 'تبلبيز'), ('رجعتوه', 'تبلبيز', 'شنيه'), ('تبلبيز', 'شنيه', 'هذا'), ('شنيه', 'هذا', 'تصطيره'), ('هذا', 'تصطيره', 'موش'), ('تصطيره', 'موش', 'كغتاجي')]"
1233,علاش صباط دزيري,"[('علاش', 'صباط'), ('صباط', 'دزيري')]","[('علاش', 'صباط', 'دزيري')]"
1234,بكل صراحه احسن وانظف كفتاجي كليتو في تونس عند عم صاليح,"[('بكل', 'صراحه'), ('صراحه', 'احسن'), ('احسن', 'وانظف'), ('وانظف', 'كفتاجي'), ('كفتاجي', 'كليتو'), ('كليتو', 'في'), ('في', 'تونس'), ('تونس', 'عند'), ('عند', 'عم'), ('عم', 'صاليح')]","[('بكل', 'صراحه', 'احسن'), ('صراحه', 'احسن', 'وانظف'), ('احسن', 'وانظف', 'كفتاجي'), ('وانظف', 'كفتاجي', 'كليتو'), ('كفتاجي', 'كليتو', 'في'), ('كليتو', 'في', 'تونس'), ('في', 'تونس', 'عند'), ('تونس', 'عند', 'عم'), ('عند', 'عم', 'صاليح')]"
1235,ماكله زيرو ماهيش صحيه زيت مقلي,"[('ماكله', 'زيرو'), ('زيرو', 'ماهيش'), ('ماهيش', 'صحيه'), ('صحيه', 'زيت'), ('زيت', 'مقلي')]","[('ماكله', 'زيرو', 'ماهيش'), ('زيرو', 'ماهيش', 'صحيه'), ('ماهيش', 'صحيه', 'زيت'), ('صحيه', 'زيت', 'مقلي')]"
1236,ههه لكفتاجي عمرو مكان يجي هكا تو لكفتاجي زبي تجي فيه بطاطا مرفوسه ههه كفتاجي قروي صحيح فيه برشا فلفل و شوي طماطم و دوباش افاح كهو ههه قلو كفتاجي اصيل,"[('ههه', 'لكفتاجي'), ('لكفتاجي', 'عمرو'), ('عمرو', 'مكان'), ('مكان', 'يجي'), ('يجي', 'هكا'), ('هكا', 'تو'), ('تو', 'لكفتاجي'), ('لكفتاجي', 'زبي'), ('زبي', 'تجي'), ('تجي', 'فيه'), ('فيه', 'بطاطا'), ('بطاطا', 'مرفوسه'), ('مرفوسه', 'ههه'), ('ههه', 'كفتاجي'), ('كفتاجي', 'قروي'), ('قروي', 'صحيح'), ('صحيح', 'فيه'), ('فيه', 'برشا'), ('برشا', 'فلفل'), ('فلفل', 'و'), ('و', 'شوي'), ('شوي', 'طماطم'), ('طماطم', 'و'), ('و', 'دوباش'), ('دوباش', 'افاح'), ('افاح', 'كهو'), ('كهو', 'ههه'), ('ههه', 'قلو'), ('قلو', 'كفتاجي'), ('كفتاجي', 'اصيل')]","[('ههه', 'لكفتاجي', 'عمرو'), ('لكفتاجي', 'عمرو', 'مكان'), ('عمرو', 'مكان', 'يجي'), ('مكان', 'يجي', 'هكا'), ('يجي', 'هكا', 'تو'), ('هكا', 'تو', 'لكفتاجي'), ('تو', 'لكفتاجي', 'زبي'), ('لكفتاجي', 'زبي', 'تجي'), ('زبي', 'تجي', 'فيه'), ('تجي', 'فيه', 'بطاطا'), ('فيه', 'بطاطا', 'مرفوسه'), ('بطاطا', 'مرفوسه', 'ههه'), ('مرفوسه', 'ههه', 'كفتاجي'), ('ههه', 'كفتاجي', 'قروي'), ('كفتاجي', 'قروي', 'صحيح'), ('قروي', 'صحيح', 'فيه'), ('صحيح', 'فيه', 'برشا'), ('فيه', 'برشا', 'فلفل'), ('برشا', 'فلفل', 'و'), ('فلفل', 'و', 'شوي'), ('و', 'شوي', 'طماطم'), ('شوي', 'طماطم', 'و'), ('طماطم', 'و', 'دوباش'), ('و', 'دوباش', 'افاح'), ('دوباش', 'افاح', 'كهو'), ('افاح', 'كهو', 'ههه'), ('كهو', 'ههه', 'قلو'), ('ههه', 'قلو', 'كفتاجي'), ('قلو', 'كفتاجي', 'اصيل')]"
1237,لهم جعله خيرا دائ وحفضه من زوال اخوا تونسي لماذا تسم بيض عضم,"[('لهم', 'جعله'), ('جعله', 'خيرا'), ('خيرا', 'دائ'), ('دائ', 'وحفضه'), ('وحفضه', 'من'), ('من', 'زوال'), ('زوال', 'اخوا'), ('اخوا', 'تونسي'), ('تونسي', 'لماذا'), ('لماذا', 'تسم'), ('تسم', 'بيض'), ('بيض', 'عضم')]","[('لهم', 'جعله', 'خيرا'), ('جعله', 'خيرا', 'دائ'), ('خيرا', 'دائ', 'وحفضه'), ('دائ', 'وحفضه', 'من'), ('وحفضه', 'من', 'زوال'), ('من', 'زوال', 'اخوا'), ('زوال', 'اخوا', 'تونسي'), ('اخوا', 'تونسي', 'لماذا'), ('تونسي', 'لماذا', 'تسم'), ('لماذا', 'تسم', 'بيض'), ('تسم', 'بيض', 'عضم')]"
1238,نقصو من هريسه راهو موش باهي برشا معده شقاله عوم هريسه ,"[('نقصو', 'من'), ('من', 'هريسه'), ('هريسه', 'راهو'), ('راهو', 'موش'), ('موش', 'باهي'), ('باهي', 'برشا'), ('برشا', 'معده'), ('معده', 'شقاله'), ('شقاله', 'عوم'), ('عوم', 'هريسه'), ('هريسه', '')]","[('نقصو', 'من', 'هريسه'), ('من', 'هريسه', 'راهو'), ('هريسه', 'راهو', 'موش'), ('راهو', 'موش', 'باهي'), ('موش', 'باهي', 'برشا'), ('باهي', 'برشا', 'معده'), ('برشا', 'معده', 'شقاله'), ('معده', 'شقاله', 'عوم'), ('شقاله', 'عوم', 'هريسه'), ('عوم', 'هريسه', '')]"
1239,تابع اتابعك,"[('تابع', 'اتابعك')]",[]
1240,15 ساعه في مراحض وش هاذ خلوطه ا خويا راك تخلط وتزيد وتخلط وتزيد تخلط وتزيد  يا خويا تونسي صرعت بلحس والله هاذ كفتاجي تقول عليه قيا  معندكش ميكسور راك صراعت بلحس  يعني تاءكل كفتاجي يديك واد هرهار,"[('15', 'ساعه'), ('ساعه', 'في'), ('في', 'مراحض'), ('مراحض', 'وش'), ('وش', 'هاذ'), ('هاذ', 'خلوطه'), ('خلوطه', 'ا'), ('ا', 'خويا'), ('خويا', 'راك'), ('راك', 'تخلط'), ('تخلط', 'وتزيد'), ('وتزيد', 'وتخلط'), ('وتخلط', 'وتزيد'), ('وتزيد', 'تخلط'), ('تخلط', 'وتزيد'), ('وتزيد', ''), ('', 'يا'), ('يا', 'خويا'), ('خويا', 'تونسي'), ('تونسي', 'صرعت'), ('صرعت', 'بلحس'), ('بلحس', 'والله'), ('والله', 'هاذ'), ('هاذ', 'كفتاجي'), ('كفتاجي', 'تقول'), ('تقول', 'عليه'), ('عليه', 'قيا'), ('قيا', ''), ('', 'معندكش'), ('معندكش', 'ميكسور'), ('ميكسور', 'راك'), ('راك', 'صراعت'), ('صراعت', 'بلحس'), ('بلحس', ''), ('', 'يعني'), ('يعني', 'تاءكل'), ('تاءكل', 'كفتاجي'), ('كفتاجي', 'يديك'), ('يديك', 'واد'), ('واد', 'هرهار')]","[('15', 'ساعه', 'في'), ('ساعه', 'في', 'مراحض'), ('في', 'مراحض', 'وش'), ('مراحض', 'وش', 'هاذ'), ('وش', 'هاذ', 'خلوطه'), ('هاذ', 'خلوطه', 'ا'), ('خلوطه', 'ا', 'خويا'), ('ا', 'خويا', 'راك'), ('خويا', 'راك', 'تخلط'), ('راك', 'تخلط', 'وتزيد'), ('تخلط', 'وتزيد', 'وتخلط'), ('وتزيد', 'وتخلط', 'وتزيد'), ('وتخلط', 'وتزيد', 'تخلط'), ('وتزيد', 'تخلط', 'وتزيد'), ('تخلط', 'وتزيد', ''), ('وتزيد', '', 'يا'), ('', 'يا', 'خويا'), ('يا', 'خويا', 'تونسي'), ('خويا', 'تونسي', 'صرعت'), ('تونسي', 'صرعت', 'بلحس'), ('صرعت', 'بلحس', 'والله'), ('بلحس', 'والله', 'هاذ'), ('والله', 'هاذ', 'كفتاجي'), ('هاذ', 'كفتاجي', 'تقول'), ('كفتاجي', 'تقول', 'عليه'), ('تقول', 'عليه', 'قيا'), ('عليه', 'قيا', ''), ('قيا', '', 'معندكش'), ('', 'معندكش', 'ميكسور'), ('معندكش', 'ميكسور', 'راك'), ('ميكسور', 'راك', 'صراعت'), ('راك', 'صراعت', 'بلحس'), ('صراعت', 'بلحس', ''), ('بلحس', '', 'يعني'), ('', 'يعني', 'تاءكل'), ('يعني', 'تاءكل', 'كفتاجي'), ('تاءكل', 'كفتاجي', 'يديك'), ('كفتاجي', 'يديك', 'واد'), ('يديك', 'واد', 'هرهار')]"
1241,حاجه بركغالطه طماطم جامي تجي مع كفتاجي متجيش تقرص وتبدلل مطعمها في قيروان بلاد كفتاجي فلفل وعضم فقط التصطيره,"[('حاجه', 'بركغالطه'), ('بركغالطه', 'طماطم'), ('طماطم', 'جامي'), ('جامي', 'تجي'), ('تجي', 'مع'), ('مع', 'كفتاجي'), ('كفتاجي', 'متجيش'), ('متجيش', 'تقرص'), ('تقرص', 'وتبدلل'), ('وتبدلل', 'مطعمها'), ('مطعمها', 'في'), ('في', 'قيروان'), ('قيروان', 'بلاد'), ('بلاد', 'كفتاجي'), ('كفتاجي', 'فلفل'), ('فلفل', 'وعضم'), ('وعضم', 'فقط'), ('فقط', 'التصطيره')]","[('حاجه', 'بركغالطه', 'طماطم'), ('بركغالطه', 'طماطم', 'جامي'), ('طماطم', 'جامي', 'تجي'), ('جامي', 'تجي', 'مع'), ('تجي', 'مع', 'كفتاجي'), ('مع', 'كفتاجي', 'متجيش'), ('كفتاجي', 'متجيش', 'تقرص'), ('متجيش', 'تقرص', 'وتبدلل'), ('تقرص', 'وتبدلل', 'مطعمها'), ('وتبدلل', 'مطعمها', 'في'), ('مطعمها', 'في', 'قيروان'), ('في', 'قيروان', 'بلاد'), ('قيروان', 'بلاد', 'كفتاجي'), ('بلاد', 'كفتاجي', 'فلفل'), ('كفتاجي', 'فلفل', 'وعضم'), ('فلفل', 'وعضم', 'فقط'), ('وعضم', 'فقط', 'التصطيره')]"
1242,طبخ مغربي وبس فطبخ عالمي,"[('طبخ', 'مغربي'), ('مغربي', 'وبس'), ('وبس', 'فطبخ'), ('فطبخ', 'عالمي')]","[('طبخ', 'مغربي', 'وبس'), ('مغربي', 'وبس', 'فطبخ'), ('وبس', 'فطبخ', 'عالمي')]"
1243,واش هاذ خلوطه,"[('واش', 'هاذ'), ('هاذ', 'خلوطه')]","[('واش', 'هاذ', 'خلوطه')]"
1244,هذا مرض و ليس اكل,"[('هذا', 'مرض'), ('مرض', 'و'), ('و', 'ليس'), ('ليس', 'اكل')]","[('هذا', 'مرض', 'و'), ('مرض', 'و', 'ليس'), ('و', 'ليس', 'اكل')]"
1245,كفتاجي قرو فقط هذا كفتاجي وخي واخد ياكلو مصارنو تتحطحط هريسه برشا حطيت و اكله اذا واحد ياكل يستطعم كان حار بلاش منها تضيع نكهه اكله حار فماش بعد كفتاجي قيروان تنسي نهبطولو من سوسه ذمه لسندويتش متاع و خبز سبيسيال,"[('كفتاجي', 'قرو'), ('قرو', 'فقط'), ('فقط', 'هذا'), ('هذا', 'كفتاجي'), ('كفتاجي', 'وخي'), ('وخي', 'واخد'), ('واخد', 'ياكلو'), ('ياكلو', 'مصارنو'), ('مصارنو', 'تتحطحط'), ('تتحطحط', 'هريسه'), ('هريسه', 'برشا'), ('برشا', 'حطيت'), ('حطيت', 'و'), ('و', 'اكله'), ('اكله', 'اذا'), ('اذا', 'واحد'), ('واحد', 'ياكل'), ('ياكل', 'يستطعم'), ('يستطعم', 'كان'), ('كان', 'حار'), ('حار', 'بلاش'), ('بلاش', 'منها'), ('منها', 'تضيع'), ('تضيع', 'نكهه'), ('نكهه', 'اكله'), ('اكله', 'حار'), ('حار', 'فماش'), ('فماش', 'بعد'), ('بعد', 'كفتاجي'), ('كفتاجي', 'قيروان'), ('قيروان', 'تنسي'), ('تنسي', 'نهبطولو'), ('نهبطولو', 'من'), ('من', 'سوسه'), ('سوسه', 'ذمه'), ('ذمه', 'لسندويتش'), ('لسندويتش', 'متاع'), ('متاع', 'و'), ('و', 'خبز'), ('خبز', 'سبيسيال')]","[('كفتاجي', 'قرو', 'فقط'), ('قرو', 'فقط', 'هذا'), ('فقط', 'هذا', 'كفتاجي'), ('هذا', 'كفتاجي', 'وخي'), ('كفتاجي', 'وخي', 'واخد'), ('وخي', 'واخد', 'ياكلو'), ('واخد', 'ياكلو', 'مصارنو'), ('ياكلو', 'مصارنو', 'تتحطحط'), ('مصارنو', 'تتحطحط', 'هريسه'), ('تتحطحط', 'هريسه', 'برشا'), ('هريسه', 'برشا', 'حطيت'), ('برشا', 'حطيت', 'و'), ('حطيت', 'و', 'اكله'), ('و', 'اكله', 'اذا'), ('اكله', 'اذا', 'واحد'), ('اذا', 'واحد', 'ياكل'), ('واحد', 'ياكل', 'يستطعم'), ('ياكل', 'يستطعم', 'كان'), ('يستطعم', 'كان', 'حار'), ('كان', 'حار', 'بلاش'), ('حار', 'بلاش', 'منها'), ('بلاش', 'منها', 'تضيع'), ('منها', 'تضيع', 'نكهه'), ('تضيع', 'نكهه', 'اكله'), ('نكهه', 'اكله', 'حار'), ('اكله', 'حار', 'فماش'), ('حار', 'فماش', 'بعد'), ('فماش', 'بعد', 'كفتاجي'), ('بعد', 'كفتاجي', 'قيروان'), ('كفتاجي', 'قيروان', 'تنسي'), ('قيروان', 'تنسي', 'نهبطولو'), ('تنسي', 'نهبطولو', 'من'), ('نهبطولو', 'من', 'سوسه'), ('من', 'سوسه', 'ذمه'), ('سوسه', 'ذمه', 'لسندويتش'), ('ذمه', 'لسندويتش', 'متاع'), ('لسندويتش', 'متاع', 'و'), ('متاع', 'و', 'خبز'), ('و', 'خبز', 'سبيسيال')]"
1246,لمن عطا عوينه علي كفتاجي في قرو خلي ساكه احسن,"[('لمن', 'عطا'), ('عطا', 'عوينه'), ('عوينه', 'علي'), ('علي', 'كفتاجي'), ('كفتاجي', 'في'), ('في', 'قرو'), ('قرو', 'خلي'), ('خلي', 'ساكه'), ('ساكه', 'احسن')]","[('لمن', 'عطا', 'عوينه'), ('عطا', 'عوينه', 'علي'), ('عوينه', 'علي', 'كفتاجي'), ('علي', 'كفتاجي', 'في'), ('كفتاجي', 'في', 'قرو'), ('في', 'قرو', 'خلي'), ('قرو', 'خلي', 'ساكه'), ('خلي', 'ساكه', 'احسن')]"
1247,خماج في خماج اكل شارع مرض انس,"[('خماج', 'في'), ('في', 'خماج'), ('خماج', 'اكل'), ('اكل', 'شارع'), ('شارع', 'مرض'), ('مرض', 'انس')]","[('خماج', 'في', 'خماج'), ('في', 'خماج', 'اكل'), ('خماج', 'اكل', 'شارع'), ('اكل', 'شارع', 'مرض'), ('شارع', 'مرض', 'انس')]"
1248,اعلاش متبداش تفصيل من اولمتكلمتش علي بطاطه اول مسموطه والا مقليه,"[('اعلاش', 'متبداش'), ('متبداش', 'تفصيل'), ('تفصيل', 'من'), ('من', 'اولمتكلمتش'), ('اولمتكلمتش', 'علي'), ('علي', 'بطاطه'), ('بطاطه', 'اول'), ('اول', 'مسموطه'), ('مسموطه', 'والا'), ('والا', 'مقليه')]","[('اعلاش', 'متبداش', 'تفصيل'), ('متبداش', 'تفصيل', 'من'), ('تفصيل', 'من', 'اولمتكلمتش'), ('من', 'اولمتكلمتش', 'علي'), ('اولمتكلمتش', 'علي', 'بطاطه'), ('علي', 'بطاطه', 'اول'), ('بطاطه', 'اول', 'مسموطه'), ('اول', 'مسموطه', 'والا'), ('مسموطه', 'والا', 'مقليه')]"
1249,ههه,[],[]
1250,بصراحه توانسه محترم وبالذ ستات عكس مغاربه,"[('بصراحه', 'توانسه'), ('توانسه', 'محترم'), ('محترم', 'وبالذ'), ('وبالذ', 'ستات'), ('ستات', 'عكس'), ('عكس', 'مغاربه')]","[('بصراحه', 'توانسه', 'محترم'), ('توانسه', 'محترم', 'وبالذ'), ('محترم', 'وبالذ', 'ستات'), ('وبالذ', 'ستات', 'عكس'), ('ستات', 'عكس', 'مغاربه')]"
1251,طبخه عاديه وحتي طبسي صغير بزاف تقول تاع قط,"[('طبخه', 'عاديه'), ('عاديه', 'وحتي'), ('وحتي', 'طبسي'), ('طبسي', 'صغير'), ('صغير', 'بزاف'), ('بزاف', 'تقول'), ('تقول', 'تاع'), ('تاع', 'قط')]","[('طبخه', 'عاديه', 'وحتي'), ('عاديه', 'وحتي', 'طبسي'), ('وحتي', 'طبسي', 'صغير'), ('طبسي', 'صغير', 'بزاف'), ('صغير', 'بزاف', 'تقول'), ('بزاف', 'تقول', 'تاع'), ('تقول', 'تاع', 'قط')]"
1252,تحيه الي كل من يشاهد هذه مقاطع اثناء تناول وجبه عشاء ههه,"[('تحيه', 'الي'), ('الي', 'كل'), ('كل', 'من'), ('من', 'يشاهد'), ('يشاهد', 'هذه'), ('هذه', 'مقاطع'), ('مقاطع', 'اثناء'), ('اثناء', 'تناول'), ('تناول', 'وجبه'), ('وجبه', 'عشاء'), ('عشاء', 'ههه')]","[('تحيه', 'الي', 'كل'), ('الي', 'كل', 'من'), ('كل', 'من', 'يشاهد'), ('من', 'يشاهد', 'هذه'), ('يشاهد', 'هذه', 'مقاطع'), ('هذه', 'مقاطع', 'اثناء'), ('مقاطع', 'اثناء', 'تناول'), ('اثناء', 'تناول', 'وجبه'), ('تناول', 'وجبه', 'عشاء'), ('وجبه', 'عشاء', 'ههه')]"
1253,معروفه تسيطر تونس بصرحه افضل صحن كفتاجي قيروان افضل صحن,"[('معروفه', 'تسيطر'), ('تسيطر', 'تونس'), ('تونس', 'بصرحه'), ('بصرحه', 'افضل'), ('افضل', 'صحن'), ('صحن', 'كفتاجي'), ('كفتاجي', 'قيروان'), ('قيروان', 'افضل'), ('افضل', 'صحن')]","[('معروفه', 'تسيطر', 'تونس'), ('تسيطر', 'تونس', 'بصرحه'), ('تونس', 'بصرحه', 'افضل'), ('بصرحه', 'افضل', 'صحن'), ('افضل', 'صحن', 'كفتاجي'), ('صحن', 'كفتاجي', 'قيروان'), ('كفتاجي', 'قيروان', 'افضل'), ('قيروان', 'افضل', 'صحن')]"
1254,احسن واحد يخدم كفتاجي قدام برديل تاع عاصمه,"[('احسن', 'واحد'), ('واحد', 'يخدم'), ('يخدم', 'كفتاجي'), ('كفتاجي', 'قدام'), ('قدام', 'برديل'), ('برديل', 'تاع'), ('تاع', 'عاصمه')]","[('احسن', 'واحد', 'يخدم'), ('واحد', 'يخدم', 'كفتاجي'), ('يخدم', 'كفتاجي', 'قدام'), ('كفتاجي', 'قدام', 'برديل'), ('قدام', 'برديل', 'تاع'), ('برديل', 'تاع', 'عاصمه')]"
1255,كفتاجي قروي وهذا ليس كفتاجي,"[('كفتاجي', 'قروي'), ('قروي', 'وهذا'), ('وهذا', 'ليس'), ('ليس', 'كفتاجي')]","[('كفتاجي', 'قروي', 'وهذا'), ('قروي', 'وهذا', 'ليس'), ('وهذا', 'ليس', 'كفتاجي')]"
1256,ابن كفتاجي تلقاه في باب خضراء و باب سويقه,"[('ابن', 'كفتاجي'), ('كفتاجي', 'تلقاه'), ('تلقاه', 'في'), ('في', 'باب'), ('باب', 'خضراء'), ('خضراء', 'و'), ('و', 'باب'), ('باب', 'سويقه')]","[('ابن', 'كفتاجي', 'تلقاه'), ('كفتاجي', 'تلقاه', 'في'), ('تلقاه', 'في', 'باب'), ('في', 'باب', 'خضراء'), ('باب', 'خضراء', 'و'), ('خضراء', 'و', 'باب'), ('و', 'باب', 'سويقه')]"
1257,كفتاجي معروف عالقيروان ولي يعمل فيه اسمو تسطيرا,"[('كفتاجي', 'معروف'), ('معروف', 'عالقيروان'), ('عالقيروان', 'ولي'), ('ولي', 'يعمل'), ('يعمل', 'فيه'), ('فيه', 'اسمو'), ('اسمو', 'تسطيرا')]","[('كفتاجي', 'معروف', 'عالقيروان'), ('معروف', 'عالقيروان', 'ولي'), ('عالقيروان', 'ولي', 'يعمل'), ('ولي', 'يعمل', 'فيه'), ('يعمل', 'فيه', 'اسمو'), ('فيه', 'اسمو', 'تسطيرا')]"
1258,لين تخراو علي رواح حذاري اذا حار يولي مرض,"[('لين', 'تخراو'), ('تخراو', 'علي'), ('علي', 'رواح'), ('رواح', 'حذاري'), ('حذاري', 'اذا'), ('اذا', 'حار'), ('حار', 'يولي'), ('يولي', 'مرض')]","[('لين', 'تخراو', 'علي'), ('تخراو', 'علي', 'رواح'), ('علي', 'رواح', 'حذاري'), ('رواح', 'حذاري', 'اذا'), ('حذاري', 'اذا', 'حار'), ('اذا', 'حار', 'يولي'), ('حار', 'يولي', 'مرض')]"
1259,عكس صاليح معروف عجه اما كفتاجي صحيح عند صباط دزيري الي مقابلو و عند منير زادا نفس نهج نهج باب خضراء,"[('عكس', 'صاليح'), ('صاليح', 'معروف'), ('معروف', 'عجه'), ('عجه', 'اما'), ('اما', 'كفتاجي'), ('كفتاجي', 'صحيح'), ('صحيح', 'عند'), ('عند', 'صباط'), ('صباط', 'دزيري'), ('دزيري', 'الي'), ('الي', 'مقابلو'), ('مقابلو', 'و'), ('و', 'عند'), ('عند', 'منير'), ('منير', 'زادا'), ('زادا', 'نفس'), ('نفس', 'نهج'), ('نهج', 'نهج'), ('نهج', 'باب'), ('باب', 'خضراء')]","[('عكس', 'صاليح', 'معروف'), ('صاليح', 'معروف', 'عجه'), ('معروف', 'عجه', 'اما'), ('عجه', 'اما', 'كفتاجي'), ('اما', 'كفتاجي', 'صحيح'), ('كفتاجي', 'صحيح', 'عند'), ('صحيح', 'عند', 'صباط'), ('عند', 'صباط', 'دزيري'), ('صباط', 'دزيري', 'الي'), ('دزيري', 'الي', 'مقابلو'), ('الي', 'مقابلو', 'و'), ('مقابلو', 'و', 'عند'), ('و', 'عند', 'منير'), ('عند', 'منير', 'زادا'), ('منير', 'زادا', 'نفس'), ('زادا', 'نفس', 'نهج'), ('نفس', 'نهج', 'نهج'), ('نهج', 'نهج', 'باب'), ('نهج', 'باب', 'خضراء')]"
1260,ما هي عظمه هل هي بيض,"[('ما', 'هي'), ('هي', 'عظمه'), ('عظمه', 'هل'), ('هل', 'هي'), ('هي', 'بيض')]","[('ما', 'هي', 'عظمه'), ('هي', 'عظمه', 'هل'), ('عظمه', 'هل', 'هي'), ('هل', 'هي', 'بيض')]"
