,sentence,bigrams
488,تحياتي لكل اهل تونس من فلسطين صار عندي فضول جدا قوي اني اتذوق عصبانان,"[('تحياتي', 'لكل'), ('لكل', 'اهل'), ('اهل', 'تونس'), ('تونس', 'من'), ('من', 'فلسطين'), ('فلسطين', 'صار'), ('صار', 'عندي'), ('عندي', 'فضول'), ('فضول', 'جدا'), ('جدا', 'قوي'), ('قوي', 'اني'), ('اني', 'اتذوق'), ('اتذوق', 'عصبانان')]"
489,تعاليق اخوه عرب حقيقه حاجه تفرح و تثلج قلب  والله شعور متبادل اهل تونس يحب جميع اخوه عرب  ربي يحفظ ,"[('تعاليق', 'اخوه'), ('اخوه', 'عرب'), ('عرب', 'حقيقه'), ('حقيقه', 'حاجه'), ('حاجه', 'تفرح'), ('تفرح', 'و'), ('و', 'تثلج'), ('تثلج', 'قلب'), ('قلب', ''), ('', 'والله'), ('والله', 'شعور'), ('شعور', 'متبادل'), ('متبادل', 'اهل'), ('اهل', 'تونس'), ('تونس', 'يحب'), ('يحب', 'جميع'), ('جميع', 'اخوه'), ('اخوه', 'عرب'), ('عرب', ''), ('', 'ربي'), ('ربي', 'يحفظ'), ('يحفظ', '')]"
490,مدام كليت عصبان سايي عليك ههه,"[('مدام', 'كليت'), ('كليت', 'عصبان'), ('عصبان', 'سايي'), ('سايي', 'عليك'), ('عليك', 'ههه')]"
491,تونس يا حبيبه تحيا بلادي شعب لهريسه,"[('تونس', 'يا'), ('يا', 'حبيبه'), ('حبيبه', 'تحيا'), ('تحيا', 'بلادي'), ('بلادي', 'شعب'), ('شعب', 'لهريسه')]"
492,باسل اني سوري و يا ريت تجي لعنا و توصل اكل سوري لكل عالم,"[('باسل', 'اني'), ('اني', 'سوري'), ('سوري', 'و'), ('و', 'يا'), ('يا', 'ريت'), ('ريت', 'تجي'), ('تجي', 'لعنا'), ('لعنا', 'و'), ('و', 'توصل'), ('توصل', 'اكل'), ('اكل', 'سوري'), ('سوري', 'لكل'), ('لكل', 'عالم')]"
493,اعشق تونس شعب تونسي كامل ناسسس لطيفهه ربي يحمي يارب,"[('اعشق', 'تونس'), ('تونس', 'شعب'), ('شعب', 'تونسي'), ('تونسي', 'كامل'), ('كامل', 'ناسسس'), ('ناسسس', 'لطيفهه'), ('لطيفهه', 'ربي'), ('ربي', 'يحمي'), ('يحمي', 'يارب')]"
494,حلو مطبخ تونسي لازم تجرب عصبان ليبي,"[('حلو', 'مطبخ'), ('مطبخ', 'تونسي'), ('تونسي', 'لازم'), ('لازم', 'تجرب'), ('تجرب', 'عصبان'), ('عصبان', 'ليبي')]"
495,انا تونسي و مرحبي بلعباد الكل في تونس,"[('انا', 'تونسي'), ('تونسي', 'و'), ('و', 'مرحبي'), ('مرحبي', 'بلعباد'), ('بلعباد', 'الكل'), ('الكل', 'في'), ('في', 'تونس')]"
496,تونس بلادي غاليه,"[('تونس', 'بلادي'), ('بلادي', 'غاليه')]"
497,6سن غربه و متوحش لبلاد نروح نشالله نعب قدقد,"[('6سن', 'غربه'), ('غربه', 'و'), ('و', 'متوحش'), ('متوحش', 'لبلاد'), ('لبلاد', 'نروح'), ('نروح', 'نشالله'), ('نشالله', 'نعب'), ('نعب', 'قدقد')]"
498,صدقو عشت سنه في تونس هي من احلي بلد شعب طيب علي نياتو ليس لديه عقد و اكل حاجه تانيه كثير لا يعرف اكل تونسي لانو ليس له رواج و لكن من ازكي ما اكلت و باسل في هذه حلقه لم يقدم الا 10 من اكل تونسي تحيه لتونس و لشعب راقي ,"[('صدقو', 'عشت'), ('عشت', 'سنه'), ('سنه', 'في'), ('في', 'تونس'), ('تونس', 'هي'), ('هي', 'من'), ('من', 'احلي'), ('احلي', 'بلد'), ('بلد', 'شعب'), ('شعب', 'طيب'), ('طيب', 'علي'), ('علي', 'نياتو'), ('نياتو', 'ليس'), ('ليس', 'لديه'), ('لديه', 'عقد'), ('عقد', 'و'), ('و', 'اكل'), ('اكل', 'حاجه'), ('حاجه', 'تانيه'), ('تانيه', 'كثير'), ('كثير', 'لا'), ('لا', 'يعرف'), ('يعرف', 'اكل'), ('اكل', 'تونسي'), ('تونسي', 'لانو'), ('لانو', 'ليس'), ('ليس', 'له'), ('له', 'رواج'), ('رواج', 'و'), ('و', 'لكن'), ('لكن', 'من'), ('من', 'ازكي'), ('ازكي', 'ما'), ('ما', 'اكلت'), ('اكلت', 'و'), ('و', 'باسل'), ('باسل', 'في'), ('في', 'هذه'), ('هذه', 'حلقه'), ('حلقه', 'لم'), ('لم', 'يقدم'), ('يقدم', 'الا'), ('الا', '10'), ('10', 'من'), ('من', 'اكل'), ('اكل', 'تونسي'), ('تونسي', 'تحيه'), ('تحيه', 'لتونس'), ('لتونس', 'و'), ('و', 'لشعب'), ('لشعب', 'راقي'), ('راقي', '')]"
499,ياولد انتبه من زيت ,"[('ياولد', 'انتبه'), ('انتبه', 'من'), ('من', 'زيت'), ('زيت', '')]"
500,الي بي تونس يدز جام,"[('الي', 'بي'), ('بي', 'تونس'), ('تونس', 'يدز'), ('يدز', 'جام')]"
501,الي من تونس ابو لقناتي شكرا لكم,"[('الي', 'من'), ('من', 'تونس'), ('تونس', 'ابو'), ('ابو', 'لقناتي'), ('لقناتي', 'شكرا'), ('شكرا', 'لكم')]"
502,اقرف اكل شفتو بحياتي,"[('اقرف', 'اكل'), ('اكل', 'شفتو'), ('شفتو', 'بحياتي')]"
503,باسل تعال علي جزائر فيها اكل ولا مره شفته مختلف كل ولايه مشهوره باكله,"[('باسل', 'تعال'), ('تعال', 'علي'), ('علي', 'جزائر'), ('جزائر', 'فيها'), ('فيها', 'اكل'), ('اكل', 'ولا'), ('ولا', 'مره'), ('مره', 'شفته'), ('شفته', 'مختلف'), ('مختلف', 'كل'), ('كل', 'ولايه'), ('ولايه', 'مشهوره'), ('مشهوره', 'باكله')]"
504,تعال جزائر اكل ممتاز,"[('تعال', 'جزائر'), ('جزائر', 'اكل'), ('اكل', 'ممتاز')]"
505,ما عند والو غير يتزحمو ههه,"[('ما', 'عند'), ('عند', 'والو'), ('والو', 'غير'), ('غير', 'يتزحمو'), ('يتزحمو', 'ههه')]"
506,مرحبا باسل ياريت تشرف في ليب وادوق منها,"[('مرحبا', 'باسل'), ('باسل', 'ياريت'), ('ياريت', 'تشرف'), ('تشرف', 'في'), ('في', 'ليب'), ('ليب', 'وادوق'), ('وادوق', 'منها')]"
507,تبارك الله علي ناس تونس ماشاء الله مجتهد في ايصال مطبخ تونسي اصيل الي عالم يعني بمجرد ان نتذوق اكل نعرف انه تونسي وذلك بفضل لمسه خاصه تونسي احيي من قلب دون نفاق ولا مجامله,"[('تبارك', 'الله'), ('الله', 'علي'), ('علي', 'ناس'), ('ناس', 'تونس'), ('تونس', 'ماشاء'), ('ماشاء', 'الله'), ('الله', 'مجتهد'), ('مجتهد', 'في'), ('في', 'ايصال'), ('ايصال', 'مطبخ'), ('مطبخ', 'تونسي'), ('تونسي', 'اصيل'), ('اصيل', 'الي'), ('الي', 'عالم'), ('عالم', 'يعني'), ('يعني', 'بمجرد'), ('بمجرد', 'ان'), ('ان', 'نتذوق'), ('نتذوق', 'اكل'), ('اكل', 'نعرف'), ('نعرف', 'انه'), ('انه', 'تونسي'), ('تونسي', 'وذلك'), ('وذلك', 'بفضل'), ('بفضل', 'لمسه'), ('لمسه', 'خاصه'), ('خاصه', 'تونسي'), ('تونسي', 'احيي'), ('احيي', 'من'), ('من', 'قلب'), ('قلب', 'دون'), ('دون', 'نفاق'), ('نفاق', 'ولا'), ('ولا', 'مجامله')]"
508,ما شاء الله شعب تونسي باين برشا شعب مضياف تحياتي لكم اماراتي,"[('ما', 'شاء'), ('شاء', 'الله'), ('الله', 'شعب'), ('شعب', 'تونسي'), ('تونسي', 'باين'), ('باين', 'برشا'), ('برشا', 'شعب'), ('شعب', 'مضياف'), ('مضياف', 'تحياتي'), ('تحياتي', 'لكم'), ('لكم', 'اماراتي')]"
509,صحه لخويا,"[('صحه', 'لخويا')]"
510,باسل منكن تجي سور وتزور شام وحلب,"[('باسل', 'منكن'), ('منكن', 'تجي'), ('تجي', 'سور'), ('سور', 'وتزور'), ('وتزور', 'شام'), ('شام', 'وحلب')]"
511,لما لاتزور جزاءر,"[('لما', 'لاتزور'), ('لاتزور', 'جزاءر')]"
512,توانسه بلاكل ميه ميه جماعه اكل طيب نظيف شهي ومطبخ مميز بعد تجربه شخصيه بتونس وتحيه الي احفاد قرطاجي شعب لطيف حلو من لبنان,"[('توانسه', 'بلاكل'), ('بلاكل', 'ميه'), ('ميه', 'ميه'), ('ميه', 'جماعه'), ('جماعه', 'اكل'), ('اكل', 'طيب'), ('طيب', 'نظيف'), ('نظيف', 'شهي'), ('شهي', 'ومطبخ'), ('ومطبخ', 'مميز'), ('مميز', 'بعد'), ('بعد', 'تجربه'), ('تجربه', 'شخصيه'), ('شخصيه', 'بتونس'), ('بتونس', 'وتحيه'), ('وتحيه', 'الي'), ('الي', 'احفاد'), ('احفاد', 'قرطاجي'), ('قرطاجي', 'شعب'), ('شعب', 'لطيف'), ('لطيف', 'حلو'), ('حلو', 'من'), ('من', 'لبنان')]"
513, بخيط ولا لا عصبان  نفدلكو,"[('', 'بخيط'), ('بخيط', 'ولا'), ('ولا', 'لا'), ('لا', 'عصبان'), ('عصبان', ''), ('', 'نفدلكو')]"
514,ممكن دعم,"[('ممكن', 'دعم')]"
515,ونبي اخت من تونس دعوات لي بطفل لي عشره سنو ,"[('ونبي', 'اخت'), ('اخت', 'من'), ('من', 'تونس'), ('تونس', 'دعوات'), ('دعوات', 'لي'), ('لي', 'بطفل'), ('بطفل', 'لي'), ('لي', 'عشره'), ('عشره', 'سنو'), ('سنو', '')]"
516,تحيه كبيره لاهل فلسط غاليه نصر يكم ينا نحنو جزائري انشالله,"[('تحيه', 'كبيره'), ('كبيره', 'لاهل'), ('لاهل', 'فلسط'), ('فلسط', 'غاليه'), ('غاليه', 'نصر'), ('نصر', 'يكم'), ('يكم', 'ينا'), ('ينا', 'نحنو'), ('نحنو', 'جزائري'), ('جزائري', 'انشالله')]"
517,جميل  او بلد تونس يخبل  تحيه عراقيه ,"[('جميل', ''), ('', 'او'), ('او', 'بلد'), ('بلد', 'تونس'), ('تونس', 'يخبل'), ('يخبل', ''), ('', 'تحيه'), ('تحيه', 'عراقيه'), ('عراقيه', '')]"
518,عصبان حاجه بنينه برشا جربو,"[('عصبان', 'حاجه'), ('حاجه', 'بنينه'), ('بنينه', 'برشا'), ('برشا', 'جربو')]"
519,تحيا تونس بلدي عزيز اكل طيب و تونس بلدي حلو,"[('تحيا', 'تونس'), ('تونس', 'بلدي'), ('بلدي', 'عزيز'), ('عزيز', 'اكل'), ('اكل', 'طيب'), ('طيب', 'و'), ('و', 'تونس'), ('تونس', 'بلدي'), ('بلدي', 'حلو')]"
520,عسلام مرحب بيك,"[('عسلام', 'مرحب'), ('مرحب', 'بيك')]"
521,استني تجرب يضربك عذر ههه,"[('استني', 'تجرب'), ('تجرب', 'يضربك'), ('يضربك', 'عذر'), ('عذر', 'ههه')]"
522,ههه وجهك صار احمر من اكل هريسه ههه,"[('ههه', 'وجهك'), ('وجهك', 'صار'), ('صار', 'احمر'), ('احمر', 'من'), ('من', 'اكل'), ('اكل', 'هريسه'), ('هريسه', 'ههه')]"
523,احنا نوحلو كان هريسه هه,"[('احنا', 'نوحلو'), ('نوحلو', 'كان'), ('كان', 'هريسه'), ('هريسه', 'هه')]"
524,تونيس تاحتل,"[('تونيس', 'تاحتل')]"
525,صار لونك احمر بقوه شطه,"[('صار', 'لونك'), ('لونك', 'احمر'), ('احمر', 'بقوه'), ('بقوه', 'شطه')]"
526,فطور غريب عجيب,"[('فطور', 'غريب'), ('غريب', 'عجيب')]"
527,تحياتي لتونس و اهل خضراء اخو من لندن ,"[('تحياتي', 'لتونس'), ('لتونس', 'و'), ('و', 'اهل'), ('اهل', 'خضراء'), ('خضراء', 'اخو'), ('اخو', 'من'), ('من', 'لندن'), ('لندن', '')]"
528,الله يهدي راجل عذبتوه ههه,"[('الله', 'يهدي'), ('يهدي', 'راجل'), ('راجل', 'عذبتوه'), ('عذبتوه', 'ههه')]"
529,سلام انت رحت الي مغرب و تونس ولكن لماذا لم تاتي الي جزائر احنا عند اكل جميل جدا,"[('سلام', 'انت'), ('انت', 'رحت'), ('رحت', 'الي'), ('الي', 'مغرب'), ('مغرب', 'و'), ('و', 'تونس'), ('تونس', 'ولكن'), ('ولكن', 'لماذا'), ('لماذا', 'لم'), ('لم', 'تاتي'), ('تاتي', 'الي'), ('الي', 'جزائر'), ('جزائر', 'احنا'), ('احنا', 'عند'), ('عند', 'اكل'), ('اكل', 'جميل'), ('جميل', 'جدا')]"
530,احلي بلد في عالم,"[('احلي', 'بلد'), ('بلد', 'في'), ('في', 'عالم')]"
531,ي ناس خلاص بروح لتونسس خضراء باسل دايم يترك امشتت تفكير ماني عارف وين اروح ضبط كل يوم يطلع علي بلد تجنن عقل بس تونس تسحر عقل زاف ,"[('ي', 'ناس'), ('ناس', 'خلاص'), ('خلاص', 'بروح'), ('بروح', 'لتونسس'), ('لتونسس', 'خضراء'), ('خضراء', 'باسل'), ('باسل', 'دايم'), ('دايم', 'يترك'), ('يترك', 'امشتت'), ('امشتت', 'تفكير'), ('تفكير', 'ماني'), ('ماني', 'عارف'), ('عارف', 'وين'), ('وين', 'اروح'), ('اروح', 'ضبط'), ('ضبط', 'كل'), ('كل', 'يوم'), ('يوم', 'يطلع'), ('يطلع', 'علي'), ('علي', 'بلد'), ('بلد', 'تجنن'), ('تجنن', 'عقل'), ('عقل', 'بس'), ('بس', 'تونس'), ('تونس', 'تسحر'), ('تسحر', 'عقل'), ('عقل', 'زاف'), ('زاف', '')]"
532,سلام اخت من تونس,"[('سلام', 'اخت'), ('اخت', 'من'), ('من', 'تونس')]"
533,يريت لو جربت كسكس مغربي,"[('يريت', 'لو'), ('لو', 'جربت'), ('جربت', 'كسكس'), ('كسكس', 'مغربي')]"
534,ليش ما زرت جزائر,"[('ليش', 'ما'), ('ما', 'زرت'), ('زرت', 'جزائر')]"
535,انا من عرب,"[('انا', 'من'), ('من', 'عرب')]"
536,تحيه الي اهل في تونس خضراء تحيه حب واخوه من عراق عضيم عراق صدام حسين شهيد,"[('تحيه', 'الي'), ('الي', 'اهل'), ('اهل', 'في'), ('في', 'تونس'), ('تونس', 'خضراء'), ('خضراء', 'تحيه'), ('تحيه', 'حب'), ('حب', 'واخوه'), ('واخوه', 'من'), ('من', 'عراق'), ('عراق', 'عضيم'), ('عضيم', 'عراق'), ('عراق', 'صدام'), ('صدام', 'حسين'), ('حسين', 'شهيد')]"
537,باسل منتابعك من زمان,"[('باسل', 'منتابعك'), ('منتابعك', 'من'), ('من', 'زمان')]"
538,كليت لبلابي ,"[('كليت', 'لبلابي'), ('لبلابي', '')]"
539,صحه و شفاء بلادي عزيزه,"[('صحه', 'و'), ('و', 'شفاء'), ('شفاء', 'بلادي'), ('بلادي', 'عزيزه')]"
540,اكثر شعب محترم توانسه والله,"[('اكثر', 'شعب'), ('شعب', 'محترم'), ('محترم', 'توانسه'), ('توانسه', 'والله')]"
541,باسل انا تونسي بدنا جزء ثاني لي معا يعمل جام,"[('باسل', 'انا'), ('انا', 'تونسي'), ('تونسي', 'بدنا'), ('بدنا', 'جزء'), ('جزء', 'ثاني'), ('ثاني', 'لي'), ('لي', 'معا'), ('معا', 'يعمل'), ('يعمل', 'جام')]"
542,تونس العز وتونس فخر انا تونسيه و تونس بلد جميل جدا و حلو  بحب كتير بلدي و افتخر اني من تونس  الي بحب تونس و بحب ازور احط لايك ,"[('تونس', 'العز'), ('العز', 'وتونس'), ('وتونس', 'فخر'), ('فخر', 'انا'), ('انا', 'تونسيه'), ('تونسيه', 'و'), ('و', 'تونس'), ('تونس', 'بلد'), ('بلد', 'جميل'), ('جميل', 'جدا'), ('جدا', 'و'), ('و', 'حلو'), ('حلو', ''), ('', 'بحب'), ('بحب', 'كتير'), ('كتير', 'بلدي'), ('بلدي', 'و'), ('و', 'افتخر'), ('افتخر', 'اني'), ('اني', 'من'), ('من', 'تونس'), ('تونس', ''), ('', 'الي'), ('الي', 'بحب'), ('بحب', 'تونس'), ('تونس', 'و'), ('و', 'بحب'), ('بحب', 'ازور'), ('ازور', 'احط'), ('احط', 'لايك'), ('لايك', '')]"
543,شعب تونسي شعب بسيط و طيب و مظياف شعب مثقف و واعي لكل من يريد زياره تونس انا استقبله ببيتي كاخ او كاخت,"[('شعب', 'تونسي'), ('تونسي', 'شعب'), ('شعب', 'بسيط'), ('بسيط', 'و'), ('و', 'طيب'), ('طيب', 'و'), ('و', 'مظياف'), ('مظياف', 'شعب'), ('شعب', 'مثقف'), ('مثقف', 'و'), ('و', 'واعي'), ('واعي', 'لكل'), ('لكل', 'من'), ('من', 'يريد'), ('يريد', 'زياره'), ('زياره', 'تونس'), ('تونس', 'انا'), ('انا', 'استقبله'), ('استقبله', 'ببيتي'), ('ببيتي', 'كاخ'), ('كاخ', 'او'), ('او', 'كاخت')]"
544,يا باسل ياريت تجي ليب و تشوف اكل ليبي عربي فخم,"[('يا', 'باسل'), ('باسل', 'ياريت'), ('ياريت', 'تجي'), ('تجي', 'ليب'), ('ليب', 'و'), ('و', 'تشوف'), ('تشوف', 'اكل'), ('اكل', 'ليبي'), ('ليبي', 'عربي'), ('عربي', 'فخم')]"
545,039كل سيار جزائري,"[('039كل', 'سيار'), ('سيار', 'جزائري')]"
546,كسكسي لو يجتمع جزائر و مغرب و تونس يالف موسوعه لا تنتهي كل منطقه بنكهات و اذواق هناك كسكس عصبان بالحوت سرد حلو  مالح  و لكي تتذوق مختلف اكل طيبه لازم عليك تزور اصل اللي هي اما شعبيه ان شاء تعمل جوله في جزائر ايضا,"[('كسكسي', 'لو'), ('لو', 'يجتمع'), ('يجتمع', 'جزائر'), ('جزائر', 'و'), ('و', 'مغرب'), ('مغرب', 'و'), ('و', 'تونس'), ('تونس', 'يالف'), ('يالف', 'موسوعه'), ('موسوعه', 'لا'), ('لا', 'تنتهي'), ('تنتهي', 'كل'), ('كل', 'منطقه'), ('منطقه', 'بنكهات'), ('بنكهات', 'و'), ('و', 'اذواق'), ('اذواق', 'هناك'), ('هناك', 'كسكس'), ('كسكس', 'عصبان'), ('عصبان', 'بالحوت'), ('بالحوت', 'سرد'), ('سرد', 'حلو'), ('حلو', ''), ('', 'مالح'), ('مالح', ''), ('', 'و'), ('و', 'لكي'), ('لكي', 'تتذوق'), ('تتذوق', 'مختلف'), ('مختلف', 'اكل'), ('اكل', 'طيبه'), ('طيبه', 'لازم'), ('لازم', 'عليك'), ('عليك', 'تزور'), ('تزور', 'اصل'), ('اصل', 'اللي'), ('اللي', 'هي'), ('هي', 'اما'), ('اما', 'شعبيه'), ('شعبيه', 'ان'), ('ان', 'شاء'), ('شاء', 'تعمل'), ('تعمل', 'جوله'), ('جوله', 'في'), ('في', 'جزائر'), ('جزائر', 'ايضا')]"
547,معندك ماذوقه خويا مكله تونسيه من اروع تكل,"[('معندك', 'ماذوقه'), ('ماذوقه', 'خويا'), ('خويا', 'مكله'), ('مكله', 'تونسيه'), ('تونسيه', 'من'), ('من', 'اروع'), ('اروع', 'تكل')]"
548,شعب هريسه,"[('شعب', 'هريسه')]"
549,انا من تونس و ساتابع,"[('انا', 'من'), ('من', 'تونس'), ('تونس', 'و'), ('و', 'ساتابع')]"
550,الي يعجب وايضحك في فيديوهاتك انك كي تبدي تاكل و توصف في اكل كانك اطلع في صاروخ من كثر حماس ,"[('الي', 'يعجب'), ('يعجب', 'وايضحك'), ('وايضحك', 'في'), ('في', 'فيديوهاتك'), ('فيديوهاتك', 'انك'), ('انك', 'كي'), ('كي', 'تبدي'), ('تبدي', 'تاكل'), ('تاكل', 'و'), ('و', 'توصف'), ('توصف', 'في'), ('في', 'اكل'), ('اكل', 'كانك'), ('كانك', 'اطلع'), ('اطلع', 'في'), ('في', 'صاروخ'), ('صاروخ', 'من'), ('من', 'كثر'), ('كثر', 'حماس'), ('حماس', '')]"
551,ما اجملك يا تونس خضراء تحيه من فرنسا,"[('ما', 'اجملك'), ('اجملك', 'يا'), ('يا', 'تونس'), ('تونس', 'خضراء'), ('خضراء', 'تحيه'), ('تحيه', 'من'), ('من', 'فرنسا')]"
552,وتحيه كبيره لاهل تونسيي,"[('وتحيه', 'كبيره'), ('كبيره', 'لاهل'), ('لاهل', 'تونسيي')]"
553,تحيه من سعوديه لتونس  اجمل بلد ,"[('تحيه', 'من'), ('من', 'سعوديه'), ('سعوديه', 'لتونس'), ('لتونس', ''), ('', 'اجمل'), ('اجمل', 'بلد'), ('بلد', '')]"
554,برجاء مشاهده فيديو سويته عن تونس حبيبه عبر قناتي,"[('برجاء', 'مشاهده'), ('مشاهده', 'فيديو'), ('فيديو', 'سويته'), ('سويته', 'عن'), ('عن', 'تونس'), ('تونس', 'حبيبه'), ('حبيبه', 'عبر'), ('عبر', 'قناتي')]"
555,وكف هذه مو بيض صفار لو اني متو ٦٠٣,"[('وكف', 'هذه'), ('هذه', 'مو'), ('مو', 'بيض'), ('بيض', 'صفار'), ('صفار', 'لو'), ('لو', 'اني'), ('اني', 'متو'), ('متو', '٦٠٣')]"
556,تعال جزائر اكل كثير حلو,"[('تعال', 'جزائر'), ('جزائر', 'اكل'), ('اكل', 'كثير'), ('كثير', 'حلو')]"
557,برافو ولد بلادي,"[('برافو', 'ولد'), ('ولد', 'بلادي')]"
558,من سعوديه لاخوا في تونس ان شاء الله ازور باقرب وقت و اهني شاب الي معك علي اخلاقه و روحه حلوه و ادبه ,"[('من', 'سعوديه'), ('سعوديه', 'لاخوا'), ('لاخوا', 'في'), ('في', 'تونس'), ('تونس', 'ان'), ('ان', 'شاء'), ('شاء', 'الله'), ('الله', 'ازور'), ('ازور', 'باقرب'), ('باقرب', 'وقت'), ('وقت', 'و'), ('و', 'اهني'), ('اهني', 'شاب'), ('شاب', 'الي'), ('الي', 'معك'), ('معك', 'علي'), ('علي', 'اخلاقه'), ('اخلاقه', 'و'), ('و', 'روحه'), ('روحه', 'حلوه'), ('حلوه', 'و'), ('و', 'ادبه'), ('ادبه', '')]"
559,فقط في تونس يوجد هريسه حاره و هريسه حلوه هه ,"[('فقط', 'في'), ('في', 'تونس'), ('تونس', 'يوجد'), ('يوجد', 'هريسه'), ('هريسه', 'حاره'), ('حاره', 'و'), ('و', 'هريسه'), ('هريسه', 'حلوه'), ('حلوه', 'هه'), ('هه', '')]"
560,لو كان هناك سبب لعدم زيارتي تونش فهو اكل حار,"[('لو', 'كان'), ('كان', 'هناك'), ('هناك', 'سبب'), ('سبب', 'لعدم'), ('لعدم', 'زيارتي'), ('زيارتي', 'تونش'), ('تونش', 'فهو'), ('فهو', 'اكل'), ('اكل', 'حار')]"
561,انا مجنونه عصبانانه و حاسه بيك كفاش طحت في غرام,"[('انا', 'مجنونه'), ('مجنونه', 'عصبانانه'), ('عصبانانه', 'و'), ('و', 'حاسه'), ('حاسه', 'بيك'), ('بيك', 'كفاش'), ('كفاش', 'طحت'), ('طحت', 'في'), ('في', 'غرام')]"
562,بنينه يا تونس خضراء بنينه  تحياتي لكل عرب علي ذوق راقي وكلام جميل وتونس تبادل حبا بحب,"[('بنينه', 'يا'), ('يا', 'تونس'), ('تونس', 'خضراء'), ('خضراء', 'بنينه'), ('بنينه', ''), ('', 'تحياتي'), ('تحياتي', 'لكل'), ('لكل', 'عرب'), ('عرب', 'علي'), ('علي', 'ذوق'), ('ذوق', 'راقي'), ('راقي', 'وكلام'), ('وكلام', 'جميل'), ('جميل', 'وتونس'), ('وتونس', 'تبادل'), ('تبادل', 'حبا'), ('حبا', 'بحب')]"
563,بريك هي نفس عجينه سبرنك رول واغلب بيحشو بيض وبيقلو,"[('بريك', 'هي'), ('هي', 'نفس'), ('نفس', 'عجينه'), ('عجينه', 'سبرنك'), ('سبرنك', 'رول'), ('رول', 'واغلب'), ('واغلب', 'بيحشو'), ('بيحشو', 'بيض'), ('بيض', 'وبيقلو')]"
564,تحيتي لكم من تونس,"[('تحيتي', 'لكم'), ('لكم', 'من'), ('من', 'تونس')]"
565,نتم ترجع لتونس لسه في اكل كثير لازم تتذوق,"[('نتم', 'ترجع'), ('ترجع', 'لتونس'), ('لتونس', 'لسه'), ('لسه', 'في'), ('في', 'اكل'), ('اكل', 'كثير'), ('كثير', 'لازم'), ('لازم', 'تتذوق')]"
566,ياخو بصحتك مي راك نكتي حالا ههه,"[('ياخو', 'بصحتك'), ('بصحتك', 'مي'), ('مي', 'راك'), ('راك', 'نكتي'), ('نكتي', 'حالا'), ('حالا', 'ههه')]"
567,قلبي خرج نموت علي اكل تونسي و خاصه بلابي و غدوي انشالله ندير كسكسي عصبان شهيتو,"[('قلبي', 'خرج'), ('خرج', 'نموت'), ('نموت', 'علي'), ('علي', 'اكل'), ('اكل', 'تونسي'), ('تونسي', 'و'), ('و', 'خاصه'), ('خاصه', 'بلابي'), ('بلابي', 'و'), ('و', 'غدوي'), ('غدوي', 'انشالله'), ('انشالله', 'ندير'), ('ندير', 'كسكسي'), ('كسكسي', 'عصبان'), ('عصبان', 'شهيتو')]"
568,تونس شعب كريم بلاد كرم و جود شعب لهريسه ,"[('تونس', 'شعب'), ('شعب', 'كريم'), ('كريم', 'بلاد'), ('بلاد', 'كرم'), ('كرم', 'و'), ('و', 'جود'), ('جود', 'شعب'), ('شعب', 'لهريسه'), ('لهريسه', '')]"
569,مرقاز جميل بس حار جربته في تونس يستاهل تجربه,"[('مرقاز', 'جميل'), ('جميل', 'بس'), ('بس', 'حار'), ('حار', 'جربته'), ('جربته', 'في'), ('في', 'تونس'), ('تونس', 'يستاهل'), ('يستاهل', 'تجربه')]"
570,عشقت تونس بعد هاذا مقطع نفسي ازور,"[('عشقت', 'تونس'), ('تونس', 'بعد'), ('بعد', 'هاذا'), ('هاذا', 'مقطع'), ('مقطع', 'نفسي'), ('نفسي', 'ازور')]"
571,قتلت ضحك ههه ملامحك لما اكلت بيض مفقس اخخخ قلبي,"[('قتلت', 'ضحك'), ('ضحك', 'ههه'), ('ههه', 'ملامحك'), ('ملامحك', 'لما'), ('لما', 'اكلت'), ('اكلت', 'بيض'), ('بيض', 'مفقس'), ('مفقس', 'اخخخ'), ('اخخخ', 'قلبي')]"
572,يا ريت لو اكلت سمك في صفاقس,"[('يا', 'ريت'), ('ريت', 'لو'), ('لو', 'اكلت'), ('اكلت', 'سمك'), ('سمك', 'في'), ('في', 'صفاقس')]"
573, عشاء ثاني,"[('', 'عشاء'), ('عشاء', 'ثاني')]"
574,هنا شفا يا رب نورت تونس و اهل تونس,"[('هنا', 'شفا'), ('شفا', 'يا'), ('يا', 'رب'), ('رب', 'نورت'), ('نورت', 'تونس'), ('تونس', 'و'), ('و', 'اهل'), ('اهل', 'تونس')]"
575,مزلت مكليتش شربه قرنيط و مدفونه و معقوده و روز جربي و طاج بونار و بريك دنوني لازم تعمل,"[('مزلت', 'مكليتش'), ('مكليتش', 'شربه'), ('شربه', 'قرنيط'), ('قرنيط', 'و'), ('و', 'مدفونه'), ('مدفونه', 'و'), ('و', 'معقوده'), ('معقوده', 'و'), ('و', 'روز'), ('روز', 'جربي'), ('جربي', 'و'), ('و', 'طاج'), ('طاج', 'بونار'), ('بونار', 'و'), ('و', 'بريك'), ('بريك', 'دنوني'), ('دنوني', 'لازم'), ('لازم', 'تعمل')]"
